champ,ban_count,ban_rate,rank,group
Vi,57,0.058762886597938144,1,1
Kalista,46,0.04742268041237113,2,1
Varus,44,0.04536082474226804,3,1
Poppy,40,0.041237113402061855,4,1
Azir,38,0.03917525773195876,5,1
Gwen,35,0.03608247422680412,6,1
Pantheon,35,0.03608247422680412,7,1
Taliyah,33,0.03402061855670103,8,1
Yone,32,0.032989690721649485,9,1
Rumble,31,0.031958762886597936,10,1
Alistar,27,0.027835051546391754,11,2
Rakan,25,0.02577319587628866,12,2
Skarner,21,0.021649484536082474,13,2
Aurora,20,0.020618556701030927,14,2
Ambessa,18,0.018556701030927835,15,2
Neeko,18,0.018556701030927835,16,2
Nocturne,18,0.018556701030927835,17,2
Ezreal,17,0.01752577319587629,18,2
Yunara,17,0.01752577319587629,19,2
Jayce,15,0.015463917525773196,20,2
Sion,15,0.015463917525773196,21,3
Kai'Sa,13,0.013402061855670102,22,3
Nautilus,13,0.013402061855670102,23,3
Orianna,13,0.013402061855670102,24,3
Sejuani,13,0.013402061855670102,25,3
Wukong,13,0.013402061855670102,26,3
Lucian,12,0.012371134020618556,27,3
Miss Fortune,12,0.012371134020618556,28,3
Naafiri,12,0.012371134020618556,29,3
Xayah,12,0.012371134020618556,30,3
