champ,games,rank,group
Rumble,11,1,1
Azir,10,2,1
K'Sante,9,3,1
Naafiri,9,4,1
Taliyah,9,5,1
Alistar,8,6,1
Jayce,8,7,1
Rell,8,8,1
Varus,8,9,1
Wukong,8,10,1
Gwen,7,11,2
Kai'Sa,7,12,2
Ezreal,6,13,2
Jax,6,14,2
Leona,6,15,2
Ryze,6,16,2
Skarner,6,17,2
Xin Zhao,6,18,2
Ahri,5,19,2
Lucian,5,20,2
Neeko,5,21,3
Annie,4,22,3
Braum,4,23,3
Galio,4,24,3
Kalista,4,25,3
Pantheon,4,26,3
Xayah,4,27,3
Zeri,4,28,3
Corki,3,29,3
Jinx,3,30,3
Lulu,3,31,4
Miss Fortune,3,32,4
Nautilus,3,33,4
Nocturne,3,34,4
Rakan,3,35,4
Sion,3,36,4
Sivir,3,37,4
Zyra,3,38,4
