jng,mid,games,wins,winrate
Xin Zhao,Taliyah,5,2,0.4
Naafiri,Taliyah,4,2,0.5
Wukong,Taliyah,4,2,0.5
Xin Zhao,Ahri,4,2,0.5
Xin Zhao,Azir,4,3,0.75
Skarner,Ryze,3,2,0.6666666666666666
Wukong,Annie,3,3,1
Wukong,Azir,3,2,0.6666666666666666
Wukong,Galio,3,0,0
Wukong,Ryze,3,1,0.3333333333333333
Jarvan IV,Taliyah,2,1,0.5
Naafiri,Annie,2,2,1
Naafiri,Sylas,2,0,0
Nocturne,Orianna,2,2,1
Poppy,Azir,2,0,0
Vi,Azir,2,0,0
Viego,Ahri,2,2,1
Xin Zhao,Annie,2,1,0.5
Xin Zhao,Galio,2,0,0
Zyra,Corki,2,0,0
Jarvan IV,Akali,1,0,0
Jarvan IV,Azir,1,1,1
Jarvan IV,Ryze,1,1,1
Lee Sin,Azir,1,1,1
Lee Sin,Twisted Fate,1,1,1
Lillia,Galio,1,0,0
Lillia,Ryze,1,1,1
Maokai,Corki,1,0,0
Maokai,Tristana,1,0,0
Maokai,Yone,1,0,0
Naafiri,Ahri,1,1,1
Naafiri,Aurora,1,0,0
Naafiri,Galio,1,0,0
Naafiri,Ryze,1,1,1
Nocturne,Annie,1,0,0
Nocturne,Ryze,1,0,0
Nocturne,Taliyah,1,0,0
Pantheon,Akali,1,1,1
Pantheon,Galio,1,0,0
Pantheon,Morgana,1,1,1
Pantheon,Taliyah,1,0,0
Pantheon,Viktor,1,1,1
Sejuani,Corki,1,0,0
Sejuani,Taliyah,1,0,0
Skarner,Ahri,1,0,0
Skarner,Azir,1,1,1
Skarner,Twisted Fate,1,1,1
Skarner,Viktor,1,0,0
Skarner,Yone,1,0,0
Sylas,Yone,1,1,1
Trundle,Ahri,1,1,1
Vi,Cassiopeia,1,0,0
Vi,Ryze,1,0,0
Vi,Taliyah,1,1,1
Vi,Viktor,1,0,0
Vi,Yone,1,0,0
Viego,Sylas,1,0,0
Wukong,Viktor,1,0,0
Xin Zhao,Akali,1,0,0
Xin Zhao,Orianna,1,1,1
Zyra,Azir,1,1,1
