bot,sup,games,wins,winrate
Lucian,Braum,6,2,0.3333333333333333
Ashe,Renata Glasc,4,3,0.75
Zeri,Lulu,4,3,0.75
Ashe,Braum,3,3,1
Corki,Neeko,3,1,0.3333333333333333
Jhin,Alistar,3,1,0.3333333333333333
Kai'Sa,Neeko,3,2,0.6666666666666666
Zeri,Alistar,3,2,0.6666666666666666
Jinx,Lulu,2,1,0.5
Kalista,Renata Glasc,2,1,0.5
Miss Fortune,Rakan,2,0,0
Miss Fortune,Rell,2,1,0.5
Senna,Nautilus,2,2,1
Sivir,Bard,2,1,0.5
Sivir,Rell,2,1,0.5
Varus,Alistar,2,0,0
Xayah,Rakan,2,2,1
Aphelios,Nautilus,1,0,0
Ashe,Elise,1,1,1
Ashe,Nautilus,1,0,0
Ashe,Poppy,1,1,1
Caitlyn,Poppy,1,0,0
Corki,Bard,1,1,1
Corki,Nautilus,1,1,1
Corki,Poppy,1,0,0
Corki,Rell,1,1,1
Draven,Renata Glasc,1,0,0
Ezreal,Alistar,1,1,1
Ezreal,Leona,1,1,1
Ezreal,Pantheon,1,0,0
Ezreal,Rakan,1,1,1
Ezreal,Rell,1,1,1
Ezreal,Shen,1,1,1
Jhin,Bard,1,0,0
Jhin,Maokai,1,1,1
Jhin,Nautilus,1,1,1
Jhin,Rakan,1,1,1
Jhin,Rell,1,0,0
Jinx,Nautilus,1,0,0
Kai'Sa,Gragas,1,1,1
Kai'Sa,Leona,1,1,1
Kai'Sa,Pantheon,1,0,0
Kai'Sa,Rell,1,1,1
Kalista,Neeko,1,1,1
Kalista,Shen,1,0,0
Lucian,Nami,1,0,0
Lucian,Rell,1,0,0
Miss Fortune,Braum,1,0,0
Miss Fortune,Elise,1,1,1
Miss Fortune,Gragas,1,0,0
Miss Fortune,Nautilus,1,1,1
Senna,Alistar,1,1,1
Senna,Cho'Gath,1,0,0
Senna,Tahm Kench,1,0,0
Varus,Braum,1,0,0
Varus,Leona,1,1,1
Varus,Neeko,1,0,0
Varus,Rakan,1,1,1
Xayah,Blitzcrank,1,1,1
Xayah,Elise,1,1,1
Xayah,Lulu,1,0,0
Xayah,Shen,1,1,1
Yunara,Alistar,1,0,0
Yunara,Neeko,1,0,0
Yunara,Rell,1,1,1
Zeri,Rakan,1,0,0
Ziggs,Leona,1,1,1
