champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Alistar,11,5,0.45454545454545453,0.6363636363636364,3.727272727272727,12.909090909090908,0.1134020618556701
Braum,11,5,0.45454545454545453,0.18181818181818182,3.727272727272727,12.818181818181818,0.1134020618556701
Rell,10,6,0.6,1.2,3.7,11.9,0.10309278350515463
Neeko,9,4,0.4444444444444444,0.7777777777777778,3.888888888888889,8.88888888888889,0.09278350515463918
Nautilus,8,5,0.625,0.5,5.625,12.125,0.08247422680412371
Rakan,8,5,0.625,1,2.125,12.875,0.08247422680412371
Lulu,7,4,0.5714285714285714,0.5714285714285714,2.5714285714285716,9.857142857142858,0.07216494845360824
Renata Glasc,7,4,0.5714285714285714,0.8571428571428571,3,11.571428571428571,0.07216494845360824
Bard,4,2,0.5,0.5,2.5,10,0.041237113402061855
Leona,4,4,1,1.25,4.5,16,0.041237113402061855
Elise,3,3,1,3.3333333333333335,2.3333333333333335,12.333333333333334,0.030927835051546393
Poppy,3,1,0.3333333333333333,2.3333333333333335,4.333333333333333,9.666666666666666,0.030927835051546393
Shen,3,2,0.6666666666666666,2,3.3333333333333335,11,0.030927835051546393
Gragas,2,1,0.5,1,5,6,0.020618556701030927
Pantheon,2,0,0,1.5,4.5,3.5,0.020618556701030927
Blitzcrank,1,1,1,0,3,10,0.010309278350515464
Cho'Gath,1,0,0,2,6,0,0.010309278350515464
Maokai,1,1,1,1,1,13,0.010309278350515464
Nami,1,0,0,1,3,9,0.010309278350515464
Tahm Kench,1,0,0,1,4,3,0.010309278350515464
